car,type,year,price,finance,day,dealer,customer,social_security,sex
Mercedes-Benz A-Class,sedan,2019,39000,no,Sun,Mike,Stanley,555342396,M
Audi A6,sedan,2021,67800,yes,Mon,Sam,Brittany,887766234,F
Nissan Altima,sedan,2015,17500,no,Sun,Mike,Todd,998573477,M
Chevrolet Equinox,SUV,2013,9600,no,Wed,Turner,Jasime,342234563,F
Hyundai Accent,hatchback,2017,23000,yes,Thur,Maddy,Sam,570566354,M
Porsche Cayenne,coupe,2021,82000,yes,Fri,Mike,Morgan,968258639,F
Volkswagen Jetta,sedan,2000,3500,no,Tue,Turner,Aaron,557275923,M
Audi A6,sedan,2020,78444,no,Sat,Brittany,Shelby,223955366,F
Jeep Wrangler,SUV,2017,33553,yes,Fri,Mike,Sam,877425852,M
Volkswagen Jetta,sedan,2012,9855,no,Tue,Sam,Jessie,885354544,F
Hyundai Accent,hatchback,2014,17434,no,Mon,Maddy,Taylor,870566354,F
Hyundai Accent,hatchback,2011,7434,no,Wed,Maddy,Monte,870066354,M
Mercedes-Benz A-Class,hatchback,2015,25453,yes,Tue,Mike,Alyssa,579521683,F
Nissan Altima,sedan,2010,10983,no,Mon,Turner,Felix,994853335,M
Chevrolet Equinox,SUV,2016,23998,yes,Fri,Mike,Kyle,947577792,M
BMW M8,coupe,2021,158000,yes,Wed,Maddy,Nicole,338559922,F
Toyota 4Runner,SUV,2022,54000,no,Thur,Mike,Jan,462375343,F
Audi A6,sedan,2015,58444,yes,Sat,Brittany,Qatava,223855366,M
Jaguar XF,sedan,2019,57744,yes,Sun,Turner,Taylor,884352886,F
Volkswagen Jetta,sedan,2004,2235,no,Tue,Turner,Git,995358322,M
Honda Civic,sedan,2018,22333,no,Fri,Mike,Jon,334642443,M
BMW M8,coupe,2020,140553,no,Wed,Maddy,Sal,326234886,M
Ford Maverick,pickup,2018,27433,no,Mon,Sam,Murry,588845355,M
Jeep Wrangler,SUV,2021,43553,yes,Fri,Mike,Don,277425852,M
Audi A6,sedan,2021,78444,no,Thur,Brittany,Qatava,223855366,M
Genesis GV80,SUV,2021,80444,yes,Mon,Mike,Selena,994447745,F
Porsche Cayenne,coupe,2015,52000,no,Thur,Turner,Emily,958258639,F
Volkswagen Jetta,sedan,2014,25356,no,Wed,Sam,Pam,995538822,F
Maserati Levante,SUV,2020,104325,yes,Mon,Mike,Cam,452685274,M
Hyundai Accent,hatchback,2017,17434,no,Thurs,Maddy,Bob,070066354,M
Honda Civic,sedan,2000,2333,no,Sat,Brittany,Allen,134642443,M
Chevrolet Camaro,coupe,2018,76550,yes,Wed,Turner,Sarah,552422222,F
Maserati Levante,SUV,2020,134325,yes,Sun,Mike,Todd,952685274,M
Mercedes-Benz A-Class,sedan,2021,44032,yes,Mon,Turner,Jon,996435345,M
Ford Maverick,pickup,2013,36033,yes,Sun,Turner,Bailey,508845355,F
Jeep Wrangler,SUV,2021,43553,yes,Fri,Mike,Don,277425852,M
Porsche 911,coupe,2021,185543,yes,Mon,Sam,Cam,452685274,M
Hyundai Accent,hatchback,2015,13434,yes,Thurs,Brittany,Don,277425852,M
Hyundai Accent,hatchback,2015,13434,yes,Thurs,Brittany,Don,277425852,M
Cadillac Escalade,sedan,2017,85474,no,Tue,Mike,Harris,885437455,M
Genesis GV80,SUV,2020,78422,yes,Mon,Sam,Rachel,995943645,F
Jeep Wrangler,SUV,2002,3553,no,Sun,Brittany,Porsche,277425858,F
Genesis GV80,SUV,2020,77842,yes,Sat,Mike,Edward,885352535,M
Cadillac Escalade,sedan,2020,48422,yes,Mon,Sam,Rachel,995943645,F
Bentley Bentayga,SUV,2020,232000,no,Wed,Mike,Gabrielle,885353455,F
